show_id,type,title,director,cast,country,language,date_added,release_year,rating,duration,runtime_minutes,listed_in,imdb_score,popularity_score,netflix_original,description
n00001,Movie,Stranger Things,Ryan Murphy,"Dev Patel, Regé-Jean Page, Florence Pugh",Japan,Japanese,24-09-2016,2009,TV-14,107 min,107,"Reality TV, Horror",8.1,75,FALSE,"Stranger Things is a movie in the Reality TV, Horror category from Japan."
n00002,TV Show,Wednesday,Martin Scorsese,"Kiara Advani, Scarlett Johansson, Regé-Jean Page",France,French,28-01-2020,2020,TV-MA,3 Seasons,,"Mystery, Action, Horror",8.3,86,FALSE,"Wednesday is a tv show in the Mystery, Action, Horror category from France."
n00003,Movie,Bridgerton,Alfonso Cuarón,"Millie Bobby Brown, Ryan Reynolds, Úrsula Corberó",Japan,Japanese,21-03-2018,2018,TV-MA,174 min,174,History,9.2,78,TRUE,Bridgerton is a movie in the History category from Japan.
n00004,TV Show,The Queen's Gambit,Lana Wachowski,"Kriti Sanon, Regé-Jean Page, Henry Cavill",United States,Spanish,08-09-2022,2022,TV-MA,2 Seasons,,"Documentary, War",7.9,81,FALSE,"The Queen's Gambit is a tv show in the Documentary, War category from United States."
n00005,Movie,Squid Game,Lana Wachowski,"Rajkummar Rao, Vicky Kaushal, Radhika Apte",United States,English,13-03-2019,2019,TV-14,75 min,75,"War, Crime",7.8,89,FALSE,"Squid Game is a movie in the War, Crime category from United States."
n00006,TV Show,Money Heist,Rian Johnson,"Regé-Jean Page, Henry Cavill, Claire Foy",United States,Spanish,18-12-2022,2021,PG-13,1 Season,,"Sci-Fi, Adventure",7.4,95,FALSE,"Money Heist is a tv show in the Sci-Fi, Adventure category from United States."
n00007,Movie,Dark,Shawn Levy,"Scarlett Johansson, Lee Jung-jae, Kriti Sanon",United Kingdom,English,02-09-2022,2005,TV-14,159 min,159,"Mystery, Drama",7.5,100,FALSE,"Dark is a movie in the Mystery, Drama category from United Kingdom."
n00008,TV Show,The Crown,Lana Wachowski,"Vicky Kaushal, Kriti Sanon, Millie Bobby Brown",Netherlands,Dutch,20-08-2023,2023,TV-MA,2 Seasons,,Sci-Fi,8.8,95,TRUE,The Crown is a tv show in the Sci-Fi category from Netherlands.
n00009,Movie,You,Baran bo Odar,"Song Kang, Alia Bhatt, Kriti Sanon",India,Hindi,04-11-2021,2019,TV-MA,144 min,144,"Comedy, Sci-Fi, Mystery",6.9,86,FALSE,"You is a movie in the Comedy, Sci-Fi, Mystery category from India."
n00010,Movie,The Witcher,Noah Baumbach,"Jenna Ortega, Florence Pugh, Adam Driver",United States,English,23-02-2024,2018,TV-MA,118 min,118,"Adventure, War",6.7,84,FALSE,"The Witcher is a movie in the Adventure, War category from United States."
n00011,Movie,Alice in Borderland,Álex Pina,"Song Kang, Florence Pugh, Dev Patel",United Kingdom,English,07-06-2022,2013,TV-MA,181 min,181,"Horror, Sports, Adventure",8.4,86,TRUE,"Alice in Borderland is a movie in the Horror, Sports, Adventure category from United Kingdom."
n00012,Movie,Lupin,Bong Joon-ho,"Scarlett Johansson, Radhika Apte, Daniel Craig",United Kingdom,English,01-12-2019,2010,TV-MA,163 min,163,Fantasy,8.2,97,TRUE,Lupin is a movie in the Fantasy category from United Kingdom.
n00013,Movie,Narcos,Bong Joon-ho,"Regé-Jean Page, Claire Foy, Daniel Craig",United States,English,05-02-2021,2021,PG,154 min,154,"Fantasy, Family",7.6,93,TRUE,"Narcos is a movie in the Fantasy, Family category from United States."
n00014,TV Show,Ozark,Alfonso Cuarón,"Henry Cavill, Kiara Advani, Anya Taylor-Joy",Japan,Japanese,29-06-2024,2005,TV-14,1 Season,,Sci-Fi,6.3,83,TRUE,Ozark is a tv show in the Sci-Fi category from Japan.
n00015,Movie,Mindhunter,Shawn Levy,"Ana de Armas, Chris Hemsworth, Penn Badgley",Canada,English,13-04-2022,2008,R,122 min,122,"War, Comedy",8.7,100,TRUE,"Mindhunter is a movie in the War, Comedy category from Canada."
n00016,Movie,Sex Education,Shawn Levy,"Vicky Kaushal, Lee Jung-jae, Henry Cavill",India,Telugu,21-07-2018,2018,TV-14,130 min,130,"Adventure, Reality TV, Horror",8.3,99,TRUE,"Sex Education is a movie in the Adventure, Reality TV, Horror category from India."
